Symbol,Name,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
MFD,Macquarie First Trust Global,null,null,null,null,0.691,null,null,10.855,12.64
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,null,null,null,null,0.694,null,null,22.36,25.065
MIC,Macquarie Infrastructure Corporation ,0.3026,16.34781753,1.146161349,39.4637,5.511,117.3896,0.91,42.41,65.1
BMA,Macro Bank Inc.,null,30.19906915,null,null,0.601,null,null,63.5501,120.92
M,Macy&#39;s Inc,0.2093,31.71953255,1.951780203,9.0404,3.527,101.0479,0.45,38.36,25.69
MCN,Madison Covered Call & Equity Strategy Fund,0.1675,null,null,null,0.624,null,null,7.4293,7.67
MSP,Madison Strategic Sector Premium Fund,0.0823,null,null,null,0.39,null,null,11.6937,11.67
MMP,Magellan Midstream Partners L.P.,0.2811,40.31142592,7.321015986,18.4942,4.974,211.4475,0.92,68.63,68.41
MGA,"Magna International, Inc.",0.3016,20.62601773,1.861845953,8.2569,3.882,30.5652,1.84,61.36,56.18
MX,MagnaChip Semiconductor Corporation,0.8861,null,null,28.5547,4.02,null,0.08,10.25,
MH^A,"Maiden Holdings, Ltd.",null,null,null,null,null,null,null,null,
MH^C,"Maiden Holdings, Ltd.",null,null,null,null,null,null,null,null,
MH^D,"Maiden Holdings, Ltd.",null,null,null,null,null,null,null,null,
MHLA,"Maiden Holdings, Ltd.",null,null,null,null,null,null,null,null,
MHNC,"Maiden Holdings, Ltd.",null,null,null,null,null,null,null,null,
MAIN,Main Street Capital Corporation,null,13.15529359,1.595268138,17.8351,6.431,67.2546,0.59,38.11,40.26
MMD,MainStay MacKay DefinedTerm Municipal Opportunitie,null,null,null,null,0.937,null,null,19.54,20.11
MNK,Mallinckrodt plc,1.2004,29.66956071,0.249207928,21.2788,13.597,105.4525,-0.21,18.72,
MZF,Managed Duration Investment Grade Municipal Fund,0.466,null,null,null,4.89,null,null,14.36,13.45
MANU,Manchester United Ltd.,0.7006,0.696937241,5.475896886,39.2522,2.577,115.3156,0.0007,20.5999,20.15
MTW,"Manitowoc Company, Inc. (The)",0.5251,5.645933014,1.36555876,101.5142,4.672,40.0556,-0.28,26.98,39.3
MN,"Manning & Napier, Inc.",0.4923,1.794122851,0.285688318,8.2075,20.803,11.846,0.08,3.055,3.55
MAN,ManpowerGroup,0.5507,21.43153605,2.066658626,16.6864,0.795,33.9731,1.46,88.35,125.64
MFC,Manulife Financial Corp,null,5.020653781,null,null,4.01,82.2177,null,18.11,20.87
MRO,Marathon Oil Corporation,0.8449,-3.330896092,1.446002964,null,1.174,45.6623,0.42,21.34,15.18
MPC,Marathon Petroleum Corporation,0.5558,24.51350773,2.184817273,23.2059,3.533,115.1454,0.08,70.9652,64.49
MMI,"Marcus & Millichap, Inc.",null,19.02467736,4.496499833,17.1169,3.653,2.6052,0.46,39.44,31.71
MCS,Marcus Corporation (The),0.1018,15.42287618,2.038547988,19.9753,3.06,74.8987,0.36,32.6,27.45
MPX,Marine Products Corporation,0.0629,31.16008262,8.133461869,28.9293,12.112,0,0.22,17.8,14.94
HZO,"MarineMax, Inc.",0.0975,8.925981042,1.446275527,20.2291,10.655,93.7981,0.28,19.35,20.9
MKL,Markel Corporation,0.1551,2.754011687,1.642058598,35.8342,4.873,32.6901,-4.25,1104.83,1121.69
VAC,Marriot Vacations Worldwide Corporation,0.6552,22.91186854,2.859554635,21.7909,9.765,24.6503,1.35,111.89,131.51
MMC,"Marsh & McLennan Companies, Inc.",0.2834,22.29132117,5.207893483,21.2898,4.884,79.6851,1.36,81.3,84.65
MLM,"Martin Marietta Materials, Inc.",2.185,15.52329498,3.040237191,32.7044,6.324,64.7498,0.16,224.04,207.25
MAS,Masco Corporation,0.265,null,null,21.5608,2.342,null,0.48,37.94,42.19
DOOR,Masonite International Corporation,0.1657,21.78913673,2.767193803,23.7757,6.313,88.5548,0.74,70.8,69.85
MTZ,"MasTec, Inc.",0.0384,26.47526896,2.983906263,15.6289,10.999,104.255,0.33,51.45,46.6
MA,Mastercard Incorporated,0.924,76.47162807,35.78599435,29.958,2.519,113.4315,1.42,196.83,152.5
MTDR,Matador Resources Company,0.0882,13.60290255,2.428641443,30.1836,4.651,46.5912,0.55,29.71,27.4
MTRN,Materion Corporation,0.1776,3.78759132,2.129834866,26.5588,3.79,0.6801,0.52,54.8083,47.75
MATX,"Matson, Inc.",0.0497,41.65433174,2.363366607,17.2644,8.108,132.415,0.33,37.55,28.05
MLP,"Maui Land & Pineapple Company, Inc.",0.5591,14.99616326,7.008186749,16.734,11.805,3.9943,-0.05,11.75,
MAXR,Maxar Technologies Ltd.,0.0304,7.284430084,null,null,26.769,150.1305,null,49.2001,65.47
MMS,"Maximus, Inc.",0.7051,23.88884668,3.838148488,19.835,2.517,null,0.84,63.745,70.93
MXL,"MaxLinear, Inc",0.9065,-4.091598152,2.665353993,41.239,11.306,79.4434,0.03,15.93,24.99
MBI,"MBIA, Inc.",null,-73.10623039,0.635585759,null,26.382,262.3397,-1.12,8.99,7.75
MKC,"McCormick & Company, Incorporated",0.0959,33.74900615,4.544774911,23.9593,11.061,167.7962,null,107.545,101.07
MKC.V,"McCormick & Company, Incorporated",0.096,null,null,null,null,null,null,null,
MDR,"McDermott International, Inc.",0.6466,11.31917593,1.065077148,21.7793,8.289,29.6515,0.36,20.995,7.4
MCD,McDonald&#39;s Corporation,0.8747,null,null,24.5758,2.183,null,1.74,159.95,172.23
MUX,McEwen Mining Inc.,0.8052,-2.679565571,1.424521654,null,31.042,0.0624,-0.02,2.14,1.85
MCK,McKesson Corporation,0.0781,0.641179004,3.015577328,16.3374,4.633,80.3754,-5.58,145.325,154.55
MDU,"MDU Resources Group, Inc.",0.0653,12.09320773,2.297498783,22.2034,1.877,73.3496,0.22,28.74,27.67
MTL,Mechel PAO,0.0679,null,null,null,1.551,null,null,3.01,4.61
MTL^,Mechel PAO,0.0696,null,null,null,null,null,null,null,
MRT,"MedEquities Realty Trust, Inc.",0.0728,5.935086053,0.954210985,36.0571,1.94,65.3907,0.16,10.9,11.05
MPW,"Medical Properties Trust, Inc.",null,8.81859146,1.327184506,20.4619,9.331,127.6016,0.25,14.06,13.65
MED,MEDIFAST INC,2.8607,31.76533614,16.17087422,20.867,3.307,0,1.02,157.84,71.53
MCC,Medley Capital Corporation,null,-16.07680081,0.494475269,8.6779,2.865,113.5096,-0.53,3.51,5.4
MCV,Medley Capital Corporation,null,null,null,null,null,null,null,null,
MCX,Medley Capital Corporation,null,null,null,null,null,null,null,null,
MDLQ,Medley LLC,null,null,null,null,null,null,null,null,
MDLX,Medley LLC,null,null,null,null,null,null,null,null,
MDLY,Medley Management Inc.,1.4579,null,null,12.2244,2.999,null,-0.224,3.55,6.5
MD,"Mednax, Inc",0.1451,7.593279889,1.330925447,19.8213,4.278,62.5547,0.68,43.04,51.68
MDT,Medtronic plc,0.864,6.150919467,2.291117044,25.2924,2.021,50.7827,1.08,86.34,82
MRK,"Merck & Company, Inc.",1.2887,4.772464458,4.872665186,19.875,2.023,69.9655,0.27,60.84,57.07
MCY,Mercury General Corporation,1.3204,4.389844294,1.536378507,30.6328,15.09,22.0538,-0.77,45.69,53.62
MDP,Meredith Corporation,1.1133,11.94937602,1.811335214,13.8673,15.58,276.1285,-2.74,52.25,71.2
MTH,Meritage Corporation,0.4419,10.64236325,1.073715666,11.5934,3.168,80.6819,1.08,43.3,49.95
MTOR,"Meritor, Inc.",0.1299,null,6.58321493,10.7851,5.151,283.4507,0.64,21.32,23.59
MER^K,"Merrill Lynch & Co., Inc.",0.0982,null,null,null,null,null,null,null,
PIY,"Merrill Lynch Depositor, Inc.",null,null,null,null,null,null,null,null,
MTR,Mesa Royalty Trust,null,null,null,null,0.825,null,null,15.3,
MSB,Mesabi Trust,1.6896,419.6931264,28.75596793,12.3383,0.508,0,0.4814,24.6,24.65
MEI,"Methode Electronics, Inc.",6.0987,9.76859363,2.257899497,16.4862,5.883,9.1746,0.99,41.85,40
MET,"MetLife, Inc.",3.1219,7.251189988,0.856578417,16.6217,3.169,38.1419,1.19,44.965,53.67
MET^A,"MetLife, Inc.",1.5441,null,null,null,null,null,null,null,
MET^E,"MetLife, Inc.",1.8535,null,null,null,null,null,null,null,
MCB,Metropolitan Bank Holding Corp.,null,null,1.817775021,null,2.237,32.1444,0.77,52.19,50.03
MTD,"Mettler-Toledo International, Inc.",0.1554,75.31688519,26.08721556,35.6691,2.897,177.1919,3.66,575.2,625.01
MXE,"Mexico Equity and Income Fund, Inc. (The)",null,null,null,null,0.524,null,null,10.01,10.26
MXF,"Mexico Fund, Inc. (The)",null,null,null,null,0.278,null,null,14.7972,15.48
MFA,"MFA Financial, Inc.",null,10.61646358,1.027105162,11.9159,1.737,224.4443,0.2,7.765,7.96
MFA^B,"MFA Financial, Inc.",null,null,null,null,null,null,null,null,
MFO,"MFA Financial, Inc.",null,null,null,null,null,null,null,null,
MFCB,MFC Bancorp Ltd.,null,-13.3246201,0.352752257,null,0.341,null,null,6.23,7.5234
MCR,MFS Charter Income Trust,null,null,null,null,0.279,null,null,7.8981,8.49
MGF,MFS Government Markets Income Trust,null,null,null,null,0.248,null,null,4.4993,4.8
MIN,MFS Intermediate Income Trust,null,null,null,null,0.144,null,null,3.83,4.11
MMT,MFS Multimarket Income Trust,null,null,null,null,0.18,null,null,5.61,6.08
MFM,MFS Municipal Income Trust,null,null,null,null,0.276,null,null,6.64,6.92
MFV,MFS Special Value Trust,null,null,null,null,0.289,null,null,5.66,6.54
MTG,MGIC Investment Corporation,null,13.93449901,1.256059289,9.7237,1.496,25.7077,0.39,10.845,15.44
MGP,MGM Growth Properties LLC,null,3.148722459,1.375123172,33.2869,12.388,243.0058,0.22,31.19,
MGM,MGM Resorts International,0.4253,28.76034068,2.205686229,20.5244,3.163,180.2041,0.39,29.125,32.71
KORS,Michael Kors Holdings Limited,0.4711,32.78951888,4.933065749,8.7314,1.067,43.3365,0.29,68.26,61.12
MFGP,Micro Focus Intl PLC,0.3754,3.771056017,null,null,1.392,null,null,17.37,32.92
MAA,"Mid-America Apartment Communities, Inc.",0.4391,5.278294017,1.809557078,55.9653,2.972,71.9168,0.42,100.57,103.88
MAA^I,"Mid-America Apartment Communities, Inc.",0.1698,null,null,null,null,null,null,null,
MSL,MidSouth Bancorp,null,-8.904839372,1.089110799,451.1076,16.201,44.1787,-0.03,13.85,13.65
MPO,"MIDSTATES PETROLEUM COMPANY, INC.",0.1447,-18.42182791,0.672873785,4.915,1.532,15.868,0.15,13.68,16.52
MCRN,Milacron Holdings Corp.,0.5882,6.357509305,2.333425315,19.0478,1.092,161.4811,0.09,19.23,18
MLR,"Miller Industries, Inc.",0.1418,13.08298155,1.377431735,15.0554,1.629,5.3319,0.59,25.95,25.7
HIE,Miller/Howard High Income Equity Fund,null,null,null,null,0.043,null,null,12.0198,12.68
MTX,Minerals Technologies Inc.,0.76,16.99169069,2.007352403,15.995,1.791,74.5471,1.13,76.05,68.3
MP^D,Mississippi Power Company,null,null,null,null,null,null,null,null,
MG,Mistras Group Inc,0.4003,-0.351733386,1.951986269,47.2465,2.064,68.0096,0.1,19.49,22.25
MUFG,Mitsubishi UFJ Financial Group Inc,null,6.322602651,null,null,1.041,447.913,null,5.735,7.22
MIXT,MiX Telematics Limited,1.0385,12.23199152,null,null,1.098,1.168,null,17.87,11.51
MFG,"Mizuho Financial Group, Inc.",0.8145,6.555011648,null,null,5.636,467.7326,null,3.39,3.68
MBT,Mobile TeleSystems OJSC,0.7505,43.508055,null,null,2.5,335.7661,null,8.505,8.87
MODN,"Model N, Inc.",0.7091,-60.65360031,12.15902085,null,1.089,136.7447,-0.13,17.15,15.4
MOD,Modine Manufacturing Company,0.7877,4.866718283,1.865027585,17.2895,0.991,97.8168,0.35,18.85,20.9
MC,Moelis & Company,0.0849,15.9225334,9.934193485,19.425,6.521,0,0.92,60.3,48.45
MHK,"Mohawk Industries, Inc.",0.105,14.62969813,2.134740005,18.1577,1.993,40.1815,2.8,213.36,
MOH,Molina Healthcare Inc,0.1019,-29.3902439,4.04696727,694.5637,8.441,134.0631,1.79,98.64,74.08
TAP,Molson Coors Brewing  Company,0.0762,11.74084219,1.122020749,28.5985,2.359,82.6891,1.29,68.55,80.15
TAP.A,Molson Coors Brewing  Company,null,null,null,null,null,null,null,null,
MNR,Monmouth Real Estate Investment Corporation,null,7.218062244,2.637244602,50.1667,2.85,166.2658,0.1,16.17,17.87
MNR^C,Monmouth Real Estate Investment Corporation,null,null,null,null,null,null,null,null,
MCO,Moody&#39;s Corporation,0.7173,null,162.3877676,21.2007,4.065,2450.025,1.95,170.14,152.57
MOG.A,Moog Inc.,null,null,null,null,null,null,null,null,
MOG.B,Moog Inc.,null,null,null,null,null,null,null,null,
MS,Morgan Stanley,null,9.099615489,1.196979347,12.5654,1.066,543.7317,1.48,48.165,53.85
MS^A,Morgan Stanley,null,null,null,null,null,null,null,null,
MS^E,Morgan Stanley,null,null,null,null,null,null,null,null,
MS^F,Morgan Stanley,null,null,null,null,null,null,null,null,
MS^G,Morgan Stanley,null,null,null,null,null,null,null,null,
MS^I,Morgan Stanley,null,null,null,null,null,null,null,null,
MS^K,Morgan Stanley,null,null,null,null,null,null,null,null,
APF,"Morgan Stanley Asia-Pacific Fund, Inc.",null,null,null,null,0.304,null,null,16.96,17.922
CAF,Morgan Stanley China A Share Fund Inc.,null,null,null,null,0.749,null,null,22.78,23.37
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",null,null,null,null,0.168,null,null,8.8682,9.92
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",null,null,null,null,0.075,null,null,6.95,7.68
MSF,"Morgan Stanley Emerging Markets Fund, Inc.",null,null,null,null,0.227,null,null,16.06,17.27
IIF,"Morgan Stanley India Investment Fund, Inc.",null,null,null,null,0.164,null,null,28.18,35.52
MOSC,Mosaic Acquisition Corp.,3.9373,null,0.292704939,null,0.11,0,0.0219,9.68,
MOSC.U,Mosaic Acquisition Corp.,null,null,null,null,null,null,null,null,
MOSC.WS,Mosaic Acquisition Corp.,null,null,null,null,null,null,null,null,
MOS,Mosaic Company (The),0.297,-0.637551801,0.946205568,27.8823,3.288,49.2176,0.11,28.98,24.82
MSI,"Motorola Solutions, Inc.",0.2771,null,null,20.0508,3.401,null,0.73,115.741,93.37
MOV,Movado Group Inc.,3.4938,-0.637731396,2.431911661,17.9175,2.646,0,0.35,49.25,
MPLX,MPLX LP,1.8865,8.32265544,4.007189642,48.795,5.562,173.6095,0.61,34.36,37.33
MRC,MRC Global Inc.,1.5414,5.138607167,2.536024629,98.4797,4.42,86.9388,0.13,21.56,15.99
HJV,MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14,2.1418,null,null,null,null,null,null,null,
MSA,MSA Safety Incorporporated,2.27,7.281740302,5.739843108,27.2377,2.36,74.042,0.85,96.89,78.22
MSM,"MSC Industrial Direct Company, Inc.",0.0288,23.77136761,3.640199461,21.49,3.938,37.9814,null,86.27,89.65
MSCI,MSCI Inc,0.0381,98.85948827,35.71790052,33.2994,2.215,493.3423,1.28,165.95,128
MSGN,MSG Networks Inc.,0.0639,null,null,10.1584,18.961,null,0.62,22.8,19.6
MLI,"Mueller Industries, Inc.",0.4293,15.84276248,3.149862562,16.8601,4.584,90.5541,0.42,30.23,35.56
MWA,Mueller Water Products Inc,3.3816,22.24498156,3.407580046,33.5193,3.359,90.2752,0.06,11.76,12.12
MVF,"MuniVest Fund, Inc.",2.8487,null,null,null,0.14,null,null,8.74,9.65
MZA,"MuniYield Arizona Fund, Inc.",null,null,null,null,4.808,null,null,14.9,15.8701
MUR,Murphy Oil Corporation,1.0838,-4.186227242,1.217677148,null,10.577,62.187,0.97,34.275,28.62
MUSA,Murphy USA Inc.,0.2905,41.73814355,3.709561854,19.4982,12.857,124.245,1.17,77.4,76.66
MVO,MV Oil Trust,null,null,null,9.0781,1.953,null,0.22,10.31,6.84
MVC,"MVC Capital, Inc.",null,6.613744465,0.760389709,166.7255,0.497,55.4911,-0.18,9.85,10.72
MVCD,"MVC Capital, Inc.",null,null,null,null,null,null,null,null,
MYE,"Myers Industries, Inc.",0.0312,-6.497863586,6.180568554,53.0801,0.375,150.4941,0.22,19.7,19.65
MYOV,Myovant Sciences Ltd.,9.8619,-140.0992641,39.80405698,null,12.679,115.6246,-0.8076,23.9056,11.37
NBR,Nabors Industries Ltd.,8.9651,-18.09966648,0.732393763,null,3.386,157.0904,-0.46,6.685,6.01
NBR^A,Nabors Industries Ltd.,7.5686,null,null,null,null,null,null,null,
NC,"NACCO Industries, Inc.",4.8218,14.92363287,1.066863598,7.9556,2.126,22.5754,1.19,35.9,
NTP,Nam Tai Property Inc.,2.9291,1.896564949,1.640722723,248.4259,8.216,0,0.07,11.15,12.45
NTEST,NASDAQ TEST STOCK,null,null,null,null,null,null,null,22.51,30.5
NTEST.A,NASDAQ TEST STOCK,null,null,null,null,null,null,null,null,
NTEST.B,NASDAQ TEST STOCK,null,null,null,null,null,null,null,null,
NTEST.C,NASDAQ TEST STOCK,null,null,null,null,null,null,null,null,
NBHC,National Bank Holdings Corporation,null,2.498561447,1.83626495,25.6671,6.831,33.8341,0.28,38.62,32.03
NFG,National Fuel Gas Company,0.4552,22.17007277,2.355145346,16.271,9.719,108.6404,1.07,53.48,57.36
NGG,"National Grid Transco, PLC",0.6002,18.1122449,null,null,1.577,null,null,55.2197,59.13
NHI,"National Health Investors, Inc.",null,11.78038214,2.337338251,20.3477,8.363,87.9038,0.93,75.21,79.02
NOV,"National Oilwell Varco, Inc.",0.5797,-1.307002821,1.117063315,null,6.191,19.2657,-0.18,43.4,33.14
NPK,"National Presto Industries, Inc.",3.1591,13.72805617,2.663717444,21.5627,18.038,0,1.57,130.05,97.2
NNN,National Retail Properties,null,8.296760387,2.066109268,30.4999,8.428,81.5966,0.62,43.9,42.18
NNN^E,National Retail Properties,null,null,null,null,null,null,null,null,
NNN^F,National Retail Properties,null,null,null,null,null,null,null,null,
SID,National Steel Company,0.3122,20.81893493,null,null,2.831,409.2256,null,2.01,2.32
NSA,National Storage Affiliates Trust,null,1.287100121,2.26469167,842.0477,11.396,162.8514,0.16,30.83,
NSA^A,National Storage Affiliates Trust,null,null,null,null,null,null,null,null,
NSM,Nationstar Mortgage Holdings Inc.,null,10.57367829,0.930607816,5.9615,9.146,530.6667,1.63,17.73,18.29
NGS,"Natural Gas Services Group, Inc.",12.9679,8.05203931,1.158521158,89.7475,5.237,0.1619,0.02,24.2,25
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",0.1156,7.594327761,1.941794209,26.1875,16.899,40.1985,0.15,12.91,8.05
NRP,Natural Resource Partners LP,0.1053,null,1.398223288,5.8873,0.503,285.0755,1.49,31.85,24.75
NTZ,"Natuzzi, S.p.A.",0.2911,-24.58010905,0.722381305,null,null,45.0148,null,1.7,1.54
NLS,"Nautilus Group, Inc. (The)",1.2564,15.57956401,2.605851739,19.7507,8.348,23.7864,0.27,15.9,13.7
NCI,"Navigant Consulting, Inc.",0.0525,11.315253,1.588985744,16.8038,3.817,26.6097,0.26,23.45,19.17
NVGS,Navigator Holdings Ltd.,0.4997,0.340320774,0.744293594,23.7143,5.346,87.3601,0.01,13.35,10.05
NNA,Navios Maritime Acquisition Corporation,1.1473,-21.72651859,0.232029362,5.6537,24.254,238.9343,-0.16,0.6641,1.18
NM,Navios Maritime Holdings Inc.,0.5046,-25.12946462,0.186626776,null,12.242,326.1126,-0.35,0.8602,1.3
NM^G,Navios Maritime Holdings Inc.,null,null,null,null,null,null,null,null,
NM^H,Navios Maritime Holdings Inc.,null,null,null,null,null,null,null,null,
NAP,Navios Maritime Midstream Partners LP,3.2398,-7.940865288,0.377525227,10.8837,4.718,90.4256,-1.38,3.8062,8.11
NMM,Navios Maritime Partners LP,0.9267,-3.187609252,null,25.5379,2.093,null,0.03,2,2.35
NAV,Navistar International Corporation,0.2997,null,null,86.0059,5.763,null,0.56,40.65,41.63
NAV^D,Navistar International Corporation,0.2807,null,null,null,null,null,null,null,
NCS,"NCI Building Systems, Inc.",0.0709,12.40556407,5.131044879,19.5311,2.448,156.5289,-0.09,21,18.9
NCR,NCR Corporation,0.1322,27.03196347,6.113177685,16.8321,7.49,525.1282,0.07,30.45,32.25
NP,"Neenah, Inc.",0.0529,20.61530371,3.422998864,18.4903,5.008,65.5909,0.96,84.95,88
NNI,"Nelnet, Inc.",null,10.9147456,1.074671666,9.8335,4.445,949.4496,2.78,59.59,55.53
NPTN,NeoPhotonics Corporation,0.5819,-29.80577634,1.473756509,null,9.185,46.6716,-0.41,6.05,
NETS,Netshoes (Cayman) Limited,0.103,-55.9231323,0.632134498,null,0.899,60.9286,null,2.6,6.91
NVRO,Nevro Corp.,4.8528,-16.43347707,9.927693165,null,7.333,60.5143,-0.59,81.99,66.26
HYB,"New America High Income Fund, Inc. (The)",null,null,null,null,0.728,null,null,8.57,9.45
GF,"New Germany Fund, Inc. (The)",null,null,null,null,0.423,null,null,18.3404,19.54
NWHM,New Home Company Inc. (The),1.3176,6.200820126,0.820516934,10.6202,9.015,122.7634,-0.03,9.99,
IRL,"New Ireland Fund, Inc. (The)",null,null,null,null,0.257,null,null,11.64,12.66
NEWM,New Media Investment Group Inc.,0.328,0.303469573,1.53097782,31.3133,8.802,62.4269,-0.01,18.94,16.72
NMFC,New Mountain Finance Corporation,null,10.38771194,0.981348053,11.5373,1.522,95.9387,0.31,13.425,14.15
EDU,"New Oriental Education & Technology Group, Inc.",1.6386,15.90028133,7.461276292,40.5115,1.152,0,null,94.26,89.18
NEWR,"New Relic, Inc.",1.6517,-22.55018062,25.84819326,null,1.852,0,-0.13,100.94,56.73
NRZ,New Residential Investment Corp.,1.5533,29.49827812,1.077734397,5.8382,3.862,258.9456,1.83,18.135,18.02
SNR,New Senior Investment Group Inc.,1.6071,1.718219129,1.2988859,null,3.549,403.8586,-0.16,7.57,7.64
NWY,"New York & Company, Inc.",1.4242,16.28809697,3.566324132,25.5747,7.922,0,0.05,5.265,2.54
NYCB,"New York Community Bancorp, Inc.",1.1339,7.116530346,0.880077786,14.1616,11.91,212.9646,0.2,11.29,13.23
NYCB^A,"New York Community Bancorp, Inc.",0.4122,null,null,null,null,null,null,null,
NYCB^U,"New York Community Bancorp, Inc.",0.6418,null,null,null,null,null,null,null,
NYRT,"New York REIT, Inc.",0.5288,null,0.603920774,null,6.94,11.3609,null,18.36,4.93
NYT,New York Times Company (The),1.3866,1.432647583,4.417998687,23.3519,7.283,26.2103,0.13,26.025,18
NWL,Newell Brands Inc.,0.0933,16.56249402,0.889190314,21.8534,7.369,78.9483,0.11,26.23,31.16
NFX,Newfield Exploration Company,0.2322,28.09980806,3.94276435,16.0071,3.26,161.7276,0.43,31.13,30.24
NJR,NewJersey Resources Corporation,0.0048,17.89614817,2.655294045,21.4717,7.114,89.5975,1.6,44.1,
NEU,NewMarket Corporation,0.0071,31.50699949,7.132878978,22.4136,5.929,95.435,5.14,400.96,391.67
NEM,Newmont Mining Corporation,2.6842,0.450070323,1.859004541,30.3296,1.619,38.7234,0.36,37.49,34.59
NR,"Newpark Resources, Inc.",0.4053,0.389728005,1.728816162,147.4597,10.766,33.9914,0.08,11.525,8.45
NEXA,Nexa Resources S.A.,1.4182,null,0.700689744,null,1.432,56.2661,0.41,12.36,16.88
NXRT,"NexPoint Residential Trust, Inc.",null,28.38378686,2.340797091,null,2.482,309.6257,0.48,28.21,
NHF,NexPoint Strategic Opportunities Fund,null,null,null,null,3.015,null,null,22.08,24.24
NEP,"NextEra Energy Partners, LP",0.1653,-0.232761129,1.466100049,30.7755,5.254,210.5882,1.35,46.56,40.05
NEE,"NextEra Energy, Inc.",0.0574,28.25627545,2.386106254,21.2618,4.853,98.4498,9.41,167.67,157.07
NEE^I,"NextEra Energy, Inc.",null,null,null,null,null,null,null,null,
NEE^J,"NextEra Energy, Inc.",null,null,null,null,null,null,null,null,
NEE^K,"NextEra Energy, Inc.",null,null,null,null,null,null,null,null,
NEE^Q,"NextEra Energy, Inc.",null,null,null,null,null,null,null,null,
NEE^R,"NextEra Energy, Inc.",null,null,null,null,null,null,null,null,
NGL,NGL ENERGY PARTNERS LP,0.0131,-6.614758636,0.860498252,null,1.39,149.224,0.7568,12.95,14.6
NGL^B,NGL ENERGY PARTNERS LP,0.0239,null,null,null,null,null,null,null,
NMK^B,"Niagara Mohawk Holdings, Inc.",0.0186,null,null,null,null,null,null,null,
NMK^C,"Niagara Mohawk Holdings, Inc.",0.0244,null,null,null,null,null,null,null,
NLSN,Nielsen N.V.,0.0235,10.26130533,2.607690595,24.1976,7.165,203.0531,0.2,30.4,37.93
NKE,"Nike, Inc.",1.1288,16.0327053,12.00099095,23.506,3.408,35.6369,null,72.72,62.17
NINE,"Nine Energy Service, Inc.",0.9113,null,1.757870806,null,0.664,24.7497,0.08,33.705,0
NI,"NiSource, Inc",0.9465,4.445057662,1.904085237,22.2685,4.749,202.3168,0.82,25.59,
NL,"NL Industries, Inc.",0.8215,45.15352911,1.241772777,4.917,4.856,0.1416,0.29,8.75,13.3
NOAH,Noah Holdings Ltd.,1.7181,19.35055087,4.276031955,16.5376,2.201,9.7556,4.7,55.14,42.66
NE,Noble Corporation,1.5679,-6.836403868,0.289896748,5.1519,7.292,77.0123,-0.58,6.26,4.25
NBL,Noble Energy Inc.,0.4481,-6.105627353,1.639910249,83.8615,4.458,67.3808,1.14,36.38,26.85
NBLX,Noble Midstream Partners LP,0.1141,39.49918147,4.047317689,17.1321,3.21,87.4868,0.97,49.18,51.55
NOK,Nokia Corporation,0.6836,-6.790843168,null,null,2.791,23.5518,null,5.84,
NOMD,Nomad Foods Limited,0.5494,7.815615693,1.493628322,32.5345,0.512,77.365,0.36,19.36,16.53
NMR,Nomura Holdings Inc ADR,null,7.919612019,null,null,1.951,1298.7278,null,4.8831,5.91
OSB,Norbord Inc.,0.5523,54.00560224,null,null,16.227,50.506,null,40.76,32.59
NAO,Nordic American Offshore Ltd,8.835,-11.86218808,0.298789008,null,11.624,57.5229,-0.15,1.1118,1.23
NAT,Nordic American Tankers Limited,null,-25.91079145,0.543069957,null,6.286,null,-0.13,2.72,3.67
JWN,"Nordstrom, Inc.",0.2076,52.89066972,8.029308531,14.6576,3.682,255.7009,0.52,51.74,45.74
NSC,Norfolk Souther Corporation,0.2663,38.14130247,2.61219582,20.1845,4.21,62.6568,1.94,152.72,141.46
NOA,North American Construction Group Ltd.,0.1936,4.244104716,null,null,0.263,89.3063,null,6.15,4.35
NRT,North European Oil Royality Trust,0.3591,null,null,11.082,0.374,null,0.19,8.1904,6.68
NOC,Northrop Grumman Corporation,0.2968,31.93835927,7.139909183,20.6487,1.641,198.6979,4.24,311.525,307.28
NRE,NorthStar Realty Europe Corp.,null,-2.841790448,1.299752117,null,2.726,204.4888,-0.02,14.47,14.03
NWN,Northwest Natural Gas Company,0.0354,-6.606186468,2.355539296,27.0814,2.769,104.6719,1.44,63.65,64
NWE,NorthWestern Corporation,0.0145,9.2913704,1.655214299,18.8775,2.399,111.2165,1.18,56.76,62.12
NCLH,Norwegian Cruise Line Holdings Ltd.,0.0975,15.60969004,1.907266443,17.2376,2.607,112.6511,0.45,49.445,53.65
NVS,Novartis AG,0.2275,11.62643131,null,null,0.927,47.976,null,73.365,84.46
NVO,Novo Nordisk A/S,null,91.61452111,null,null,1.39,null,null,45.88,
DNOW,NOW Inc.,0.1806,-2.281368821,1.18302051,32.6546,7.804,14.6812,0.02,13.65,10.52
NRG,"NRG Energy, Inc.",0.206,null,null,17.6264,4.141,null,0.88,31.61,28.7
